序号,城市,代码,级别
1,北京市,110000,地级市
2,天津市,120000,地级市
3,石家庄市,130100,地级市
4,唐山市,130200,地级市
5,秦皇岛市,130300,地级市
6,邯郸市,130400,地级市
7,邢台市,130500,地级市
8,保定市,130600,地级市
9,张家口市,130700,地级市
10,承德市,130800,地级市
11,沧州市,130900,地级市
12,廊坊市,131000,地级市
13,衡水市,131100,地级市
14,太原市,140100,地级市
15,大同市,140200,地级市
16,阳泉市,140300,地级市
17,长治市,140400,地级市
18,晋城市,140500,地级市
19,朔州市,140600,地级市
20,晋中市,140700,地级市
21,运城市,140800,地级市
22,忻州市,140900,地级市
23,临汾市,141000,地级市
24,吕梁市,141100,地级市
25,呼和浩特市,150100,地级市
26,包头市,150200,地级市
27,乌海市,150300,地级市
28,赤峰市,150400,地级市
29,通辽市,150500,地级市
30,鄂尔多斯市,150600,地级市
31,呼伦贝尔市,150700,地级市
32,巴彦淖尔市,150800,地级市
33,乌兰察布市,150900,地级市
34,沈阳市,210100,地级市
35,大连市,210200,地级市
36,鞍山市,210300,地级市
37,抚顺市,210400,地级市
38,本溪市,210500,地级市
39,丹东市,210600,地级市
40,锦州市,210700,地级市
41,营口市,210800,地级市
42,阜新市,210900,地级市
43,辽阳市,211000,地级市
44,盘锦市,211100,地级市
45,铁岭市,211200,地级市
46,朝阳市,211300,地级市
47,葫芦岛市,211400,地级市
48,长春市,220100,地级市
49,吉林市,220200,地级市
50,四平市,220300,地级市
51,辽源市,220400,地级市
52,通化市,220500,地级市
53,白山市,220600,地级市
54,松原市,220700,地级市
55,白城市,220800,地级市
56,哈尔滨市,230100,地级市
57,齐齐哈尔市,230200,地级市
58,鸡西市,230300,地级市
59,鹤岗市,230400,地级市
60,双鸭山市,230500,地级市
61,大庆市,230600,地级市
62,伊春市,230700,地级市
63,佳木斯市,230800,地级市
64,七台河市,230900,地级市
65,牡丹江市,231000,地级市
66,黑河市,231100,地级市
67,绥化市,231200,地级市
68,上海市,310000,地级市
69,南京市,320100,地级市
70,无锡市,320200,地级市
71,徐州市,320300,地级市
72,常州市,320400,地级市
73,苏州市,320500,地级市
74,南通市,320600,地级市
